"CVE_ENT","Prevalence","Incidence","Concentration","log_bribe_vic","log_deaths","rt_deaths_wpn","log_drug_crim","log_oc_crim","log_wpn_crim","log_pop","log_nbus","law_index","comp_index"
4,118.99999574,183.00000104,1.537815,-0.0544134217237944,-2.22586744328845,-18.981777089652,-2.65610472633403,-1.44811867730179,-2.1376121745347,-1.43578469317498,0.0873780131073936,24.007074590625,-2.0745178834375
5,29.0000018,45.0000012,1.551724,-0.55650536552103,0.0897897312729468,11.9854136143808,-1.04127596526505,1.20277310996047,-0.368842223531348,-0.246997165014383,-0.13420588101517,11.626242110625,4.0090872365625
6,77.00000174,132.00000062,1.714286,-1.05294225183492,-1.14942901211466,18.5860775244618,-1.62263173983688,0.225857756269877,-0.77819083166591,-1.66740466608478,-0.0627917008392078,11.921075570625,7.9525732465625
7,74.9999952,115.0000026,1.533333,0.38553786245554,-0.386990051083326,-16.8511891134353,-0.31377930469047,-0.0618243161819039,-0.463635740963033,0.324704405354373,0.346294413035909,11.091720530625,-12.5512923934375
8,58.99999648,102.00000129,1.728814,-0.258012376965034,1.05919028846105,11.6002815051108,0.0925512296941235,0.34364079192626,0.257524475824586,-0.017416211346271,0.0936020995903952,-4.294953129375,2.1943293565625
9,49.9999984,68.9999992,1.38,-0.226263678650453,0.429041034064426,3.77127807369579,0.225217196042217,1.92490782739366,0.556195669851962,0.87705684666485,-0.000674488390647099,-12.910884649375,20.1805232765625
10,37.99999808,72.00000192,1.894737,-0.74756060228374,-0.440708658091748,8.18506385376615,-1.76721296864799,-0.53182794542764,-0.664306436425184,-0.761078133224316,-0.223818039704857,2.323924960625,-5.1175646834375
11,53.00000196,63.00000102,1.188679,-0.396162715445851,-0.00409289654019229,7.68876874712254,1.95928334903725,0.161319235132306,0.510065898124461,0.435626893289012,-0.500200556902704,16.702534850625,-2.0410003034375
12,168.0000044,253.00000327,1.505952,0.497655160576245,1.14821113935781,18.813223028941,-0.749569742513547,1.32447004493799,0.260283098263666,-0.0487346245398079,0.000461230073280916,-25.068588419375,-22.4095662634375
13,55.00000208,149.00000028,2.709091,-0.433903043428698,-1.44461299521824,-8.12255071045098,-1.84818203118166,-0.195355708806427,-0.565215533780953,-0.276412031437395,-0.100997210018516,7.76000734062499,-4.2362632934375
14,48.99999845,63.9999998,1.306122,-0.10848064299407,0.746569267662018,6.23264786161506,0.673199830141384,0.749105900034425,1.01938824661541,0.738408151880785,-0.167212177483339,-4.940090659375,5.9328280565625
15,103.00000072,137.99999816,1.339806,0.278292332101942,1.53441425813575,8.24841554353895,-0.782225705487599,1.48750967218249,0.806029038334938,1.48680559635028,-0.3380562293947,-27.729044249375,1.3520336465625
16,121.00000404,240.99999973,1.991736,0.0215724852541279,0.297753718680239,15.3231307495663,-0.184803728601808,1.19093865231346,0.445813459094405,0.202411918084584,0.103890256179883,-5.439240589375,-9.6966487834375
17,110.00000232,188.00000208,1.709091,0.418874282723131,-0.0982625002299926,8.50131150958905,-1.28341601726992,0.127417683456625,-0.20696949761018,-0.680115537727433,-0.306705699510625,-33.021335289375,1.5752687265625
18,41.00000136,70.99999944,1.731707,-0.1954920199837,-1.19062476855293,8.10872955078086,-1.32538021636895,-0.841982873731479,-1.40001323140392,-1.1441309046948,-0.282314246386465,8.952460940625,-3.0821187134375
19,63.000002,111.9999989,1.777778,-0.258012376965034,0.164824917215861,8.86540109677794,0.114793378427844,0.521321969163713,0.190404356351145,0.289288644012283,-0.0495782953808162,-0.538049949375001,12.9628884665625
20,100.0000011,181.999998,1.82,0.38553786245554,0.0567834348047773,-0.279904959662588,-0.438077021368047,0.0182183914916325,0.586470434098555,0.0677110401246122,-0.0121031842142694,-1.576338779375,-14.7682118134375
21,73.99999905,143.9999997,1.945946,0.35105168638437,-0.241242782052447,-1.88603139630469,-1.58489141185403,-0.467289424290068,-0.338305499671266,0.494673256720692,0.0811149446178314,2.179853700625,0.104879996562502
22,61.99999598,77.00000126,1.241935,-0.600957128091864,-1.80301059246842,-17.4391273618843,-1.30417800871835,-1.44811867730179,-0.846627993219139,-0.64360043104007,0.0470328386399528,6.987433410625,8.3942604965625
23,39.99999837,59.00000349,1.475,0.368443429096239,-1.50674477632525,-19.2516826227154,-1.03591402212367,-1.44811867730179,-1.63591903433199,-0.912903200817743,-0.0798652863150888,0.477871250625,3.3911356565625
24,64.99999936,114.00000128,1.753846,-0.74756060228374,-0.859507297069378,2.20331651684748,-1.70267444751042,0.371039766114375,-0.0811601510795672,-0.314245134631912,0.102866190550193,-1.468202239375,-2.1012557334375
25,36.99999681,93.00000192,2.513514,-0.165639056834018,0.538463593712349,27.5814593596803,0.196006817942416,0.0923263636453542,0.275320975628206,-0.232499505286411,-0.19995725857795,0.669383000624997,5.0019711765625
26,19.0000001,28.99999915,1.526316,-0.696267307896189,-0.0827100872225079,17.0968453924793,1.01779827359035,0.0559587194744795,0.371001137554283,-0.26045919147651,-0.326971396970207,6.742141740625,6.6105761665625
27,48.99999672,103.00000284,2.102041,-0.359795071274976,-1.08433010990331,-7.86943741694081,-1.21077683362995,0.0559587194744795,-1.59987909784879,-0.460496299759079,0.080067275585388,-4.555759209375,-8.0182359334375
28,179.99999285,286.00000613,1.588889,0.92312093539108,0.166029011280666,2.77229219909334,0.144795628731643,0.919004936829822,1.07029461896292,-0.0666363949733366,0.632167621563664,5.275496470625,3.3347831965625
29,77.00000176,124.99999655,1.623377,0.466883501909491,-2.06796441384264,-25.2946097330583,-1.47123209338151,-1.44811867730179,-1.86135879790655,-1.09097724544603,0.00272880474106074,1.109493500625,-6.3115208234375
30,119.9999955,221.9999985,1.85,0.179201429457711,0.0871889495728899,-5.15913454579235,-0.508120865100974,0.949776595496576,-0.178798620643483,0.761503875522047,0.17594904728867,1.138800670625,-6.1560549634375
31,24.99999808,50.99999776,2.04,0.092190052468081,-2.72795938708569,-37.1167885312996,-1.77838626924611,-3.23987814652985,-2.89327971207598,-0.583572032824627,0.174042469018088,20.479745460625,0.838424356562498
32,82.99999838,107.9999986,1.301205,-0.00312012733624378,-0.593021439956336,13.101161619589,-1.61306228882073,0.521321969163713,-0.755112884383365,-0.869920628548314,0.511740780310978,-3.574547949375,-5.5648399234375
